aero,NAME/GENDER,ABILITY,Move A,Move B,Move C,Move D,IV,HP,ATK,DEF,S.ATK,S.DEF,SPD,NATURE,ITEM,LEGEND,,
389,Torterra,Overgrow,Leaf Storm,Earth Power,Bite,Stealth Rock,5,326,249,241,181,201,143,Quirky,,,,Torterra: 5
390,Chimchar,Blaze,Flamethrower,Grass Knot,Attract,Double Team,25,244,150,139,167,139,190,Timid,,,,Chimchar: 25
391,Monferno,Blaze,Blaze Kick,Brick Break,Shadow Claw,Torment,16,275,198,146,198,146,204,Hardy,,,,Monferno: 16
392,Infernape,Blaze,Fake Out,Blast Burn,Mach Punch,Taunt,4,287,238,172,214,172,270,Jolly,,,,Infernape: 4
393,Piplup,Torrent,Hydro Pump,Ice Beam,Grass Knot,Agility,25,262,137,157,173,179,131,Modest,,,,Piplup: 25
394,Prinplup,Torrent,Surf,Icy Wind,Headbutt,Feather Dance,16,275,156,195,204,194,142,Bold,,,,Prinplup: 16
395,Empoleon,Torrent,Flash Cannon,Bubble Beam,Drill Peck,Defog,4,303,202,226,252,232,135,Relaxed,,,,Empoleon: 4
396,Starly,Keen Eye,Brave Bird,Secret Power,Endeavor,Sand Attack,31,242,167,117,105,117,194,Jolly,,,,Starly: 31
397,Staravia,Intimidate,Fly,Frustration (90),Steel Wing,Agility,22,263,217,148,115,128,208,Adamant,,,,Staravia: 22
398,Staraptor,Intimidate,Return (75),Wing Attack,Heat Wave,Tailwind,9,310,247,175,148,135,235,Modest,,,,Staraptor: 9
399,Bidoof,Simple,Super Fang,Quick Attack,Curse,Odor Sleuth,31,280,161,137,114,137,119,Adamant,,,,Bidoof: 31
400,Bibarel,Simple,Aqua Tail,Hyper Fang,Superpower,Defense Curl,16,305,212,145,152,162,202,Hasty,,,,Bibarel: 16
401,Kricketot,Shed Skin,Bug Bite,Uproar,Mud-Slap,Endeavor,36,236,117,139,107,139,96,Brave,,,,Kricketot: 36
402,Kricketune,Swarm,X-Scissor,Brick Break,Sing,Swords Dance,18,303,214,146,138,146,191,Jolly,,,,Kricketune: 18
403,Shinx,Intimidate,Thunderbolt,Bite,Fire Fang,Thunder Wave,30,251,186,111,149,124,146,Mild,,,,Shinx: 30
404,Luxio,Intimidate,Discharge,Night Slash,Ice Fang,Scary Face,20,271,216,129,182,144,166,Mild,,,,Luxio: 20
405,Luxray,Rivalry,Thunder Fang,Bite,Quick Attack,Roar,5,296,171,189,221,189,171,Hardy,,,,Luxray: 5
406,Budew,Poison Point,Giga Drain,Sludge Bomb,Attract,Growth,28,239,102,124,154,194,180,Timid,,,,Budew: 28
407,Roserade,Poison Point,Petal Dance,Poison Jab,Weather Ball,Rain Dance,7,258,190,143,254,243,213,Adamant,,,,Roserade: 7
408,Cranidos,Mold Breaker,Head Smash,Earthquake,Strength,Scary Face,21,286,297,127,96,107,179,Jolly,,,,Cranidos: 21
409,Rampardos,Mold Breaker,Rock Slide,Rock Climb,Zen Headbutt,Leer,8,333,327,154,180,134,150,Modest,,,,Rampardos: 8
410,Shieldon,Sturdy,Earthquake,Fire Blast,Fissure,Iron Defense,21,212,131,283,131,245,96,Sassy,,,,Shieldon: 21
411,Bastiodon,Sturdy,Flash Cannon,Ancient Power,Metal Sound,Metal Burst,8,259,138,333,140,310,94,Mild,,,,Bastiodon: 8
412,Burmy (Plant),Shed Skin,Bug Bite,Tackle,Protect,,33,242,126,147,103,147,129,Adamant,,,,Burmy (Plant): 33
412,Burmy (Sand),Shed Skin,Bug Bite,Tackle,Protect,,33,242,126,147,103,147,129,Adamant,,,,Burmy (Sand): 33
412,Burmy (Trash),Shed Skin,Bug Bite,Tackle,Protect,,33,242,126,147,103,147,129,Adamant,,,,Burmy (Trash): 33
413,Wormadam (Plant),Anticipation,Leaf Storm,Signal Beam,Sucker Punch,Growth,14,265,173,210,198,250,100,Brave,,,,Wormadam (Plant): 14
413,Wormadam (Sandy),Anticipation,Earthquake,Bug Bite,Fissure,Sandstorm,14,265,198,250,158,131,100,Sassy,,,,Wormadam (Sandy): 14
413,Wormadam (Trash),Anticipation,Gunk Shot,Flash Cannon,Signal Beam,Iron Defense,14,265,178,230,178,253,100,Sassy,,,,Wormadam (Trash): 14
414,Mothim,Swarm,Bug Buzz,Air Slash,Giga Drain,Tailwind,14,285,205,140,228,140,189,Timid,,,,Mothim: 14
415,Combee,Honey Gather,Ominous Wind,Mud-Slap,Endeavor,Tailwind,31,222,105,141,117,141,216,Timid,,,,Combee: 31
416,Vespiquen,Pressure,Attack Order,Air Cutter,Power Gem,Defend Order,10,281,196,216,196,240,127,Hasty,,,,Vespiquen: 10
417,Pachirisu,Run Away,Super Fang,Thunderbolt,Grass Knot,Swagger,16,267,118,182,145,222,232,Modest,,,,Pachirisu: 16
418,Buizel,Swift Swim,Waterfall,Ice Beam,Brick Break,Rain Dance,23,264,196,107,169,109,219,Lonely,,,,Buizel: 23
419,Floatzel,Swift Swim,Waterfall,Crunch,Razor Wind,Rain Dance,8,309,219,144,204,147,264,Calm,,,,Floatzel: 8
420,Cherubi,Chlorophyll,Solar Beam,Weather Ball,Sunny Day,Leech Seed,29,250,112,145,196,161,125,Modest,,,,Cherubi: 29
421,Cherrim,Flower Gift,Seed Bomb,Frustration (90),Tickle,Sunny Day,12,283,173,178,190,194,208,Adamant,,,,Cherrim: 12
422,Shellos (East),Sticky Hold,Surf,Earth Power,Ice Beam,Pain Split,24,307,131,146,180,174,118,Modest,,,,Shellos (East): 24
422,Shellos (West),Sticky Hold,Dive,Fissure,Recover,Stockpile,24,307,146,160,147,174,118,Impish,,,,Shellos (West): 24
423,Gastrodon (East),Storm Drain,Earth Power,Muddy Water,Mirror Coat,Harden,9,362,201,171,219,199,113,Hardy,,,,Gastrodon (East): 9
423,Gastrodon (West),Storm Drain,Earthquake,Waterfall,Counter,Harden,9,362,201,171,219,199,113,Hardy,,,,Gastrodon (West): 9
424,Ambipom,Technician,Fake Out,Aerial Ace,Double Slap,Screech,9,290,235,167,155,167,265,Hardy,,,,Ambipom: 9
425,Drifloon,Aftermath,Shadow Ball,Air Cutter,Tailwind,Destiny Bond,22,333,133,116,184,136,188,Modest,,,,Drifloon: 22
426,Drifblim,Aftermath,Fly,Ominous Wind,Thunderbolt,Memento,7,438,193,121,213,141,193,Quirky,,,,Drifblim: 7
427,Buneary,Klutz,Frustration (max),Jump Kick,Charm,Foresight,21,262,196,135,121,159,217,Adamant,,,,Buneary: 21
428,Lopunny,Cute Charm,Dizzy Punch,Bounce,Shadow Ball,Fake Tears,9,270,187,203,143,227,245,Bashful,,,,Lopunny: 9
429,Mismagius,Levitate,Ominous Wind,Psychic,Imprison,Curse,8,259,154,138,244,244,268,Hasty,,,,Mismagius: 8
430,Honchkrow,Super Luck,Drill Peck,Night Slash,Taunt,Whirlwind,7,338,254,137,243,150,175,Calm,,,,Honchkrow: 7
,Shiny Honchkrow,Sniper,Night Slash,Shadow Claw,Stone Edge,Focus Energy,,362,337,161,240,161,199,Adamant,,,,
431,Glameow,Limber,Slash,Shadow Claw,Swagger,Hypnosis,25,254,161,135,121,125,243,Jolly,,,,Glameow: 25
432,Purugly,Own Tempo,Body Slam,Dig,Feint Attack,Assist,12,285,202,166,149,156,288,Jolly,,,,Purugly: 12
433,Chingling,Levitate,Psychic,Light Screen,Recover,Thunder Wave,28,249,102,154,202,154,144,Modest,,,,Chingling: 28
434,Stunky,Stench,Sucker Punch,Sludge Bomb,Fire Blast,Smokescreen,23,280,175,128,144,131,197,Mild,,,,Stunky: 23
435,Skuntank,Stench,Poison Jab,Dark Pulse,Flamethrower,Haze,9,346,221,169,159,157,223,Jolly,,,,Skuntank: 9
436,Bronzor,Levitate,Flash Cannon,Psychic,Confuse Ray,Calm Mind,26,271,90,246,100,224,98,Bold,,,,Bronzor: 26
437,Bronzong,Levitate,Extrasensory,Flash Cannon,Earthquake,Trick Room,7,272,211,238,191,165,108,Hasty,,,,Bronzong: 7
438,Bonsly,Sturdy,Rock Slide,Sucker Punch,Low Kick,Explosion,27,258,234,243,65,143,73,Adamant,,,,Bonsly: 27
439,Mime Jr.,Filter,Psychic,Thunderbolt,Barrier,Teeter Dance,25,196,90,141,191,231,188,Timid,,,,Mime Jr.: 25
440,Happiny,Serene Grace,Flamethrower,Attract,Sweet Kiss,Toxic,34,362,60,67,87,205,117,Calm,,,,Happiny: 34
441,Chatot,Keen Eye,Hyper Voice,Chatter,Mimic,Sing,16,299,154,132,226,126,246,Timid,,,,Chatot: 16
442,Spiritomb,Pressure,Dark Pulse,Shadow Sneak,Curse,Spite,9,240,219,251,219,225,115,Naive,,,,Spiritomb: 9
,Shiny Spiritomb,Wonder Guard,Sheer Cold,Toxik,Whirlpool,Sand Tomb,,262,241,273,241,245,139,Naive,Toxic Orb,,,
443,Gible,Sand Veil,Outrage,Earthquake,Stone Edge,Sandstorm,26,273,211,142,118,142,136,Adamant,,,,Gible: 26
444,Gabite,Sand Veil,Dragon Claw,Dig,Sandstorm,Stealth Rock,16,283,222,172,142,152,206,Hardy,,,,Gabite: 16
445,Garchomp,Sand Veil,Dragon Pulse,Earth Power,Roar,Stealth Rock,-1,347,286,216,167,215,230,Careful,,,,Garchomp: -1
446,Munchlax,Thick Fat,Body Slam,Fire Punch,Metronome,Curse,18,419,214,124,124,235,48,Sassy,,,,Munchlax: 18
447,Riolu,Steadfast,High Jump Kick,Blaze Kick,Thunder Punch,Swords Dance,28,239,194,134,111,134,191,Jolly,,,,Riolu: 28
448,Lucario,Inner Focus,Aura Sphere,Bullet Punch,Bite,Me First,5,276,251,188,234,171,211,Impish,,,,Lucario: 5
449,Hippopotas,Sand Stream,Earthquake,Rock Slide,Curse,Yawn,23,290,193,205,125,146,101,Sassy,,,,Hippopotas: 23
450,Hippowdon,Sand Stream,Dig,Take Down,Thunder Fang,Fissure,5,352,255,267,183,157,125,Rash,,,,Hippowdon: 5
451,Skorupi,Sniper,X-Scissor,Cross Poison,Brick Break,Acupressure,23,234,149,229,98,159,196,Jolly,,,,Skorupi: 23
452,Drapion,Sniper,Night Slash,Cross Poison,Ice Fang,Toxic Spikes,7,278,213,227,153,183,245,Hasty,,,,Drapion: 7
453,Croagunk,Dry Skin,Sludge Bomb,Cross Chop,Sucker Punch,Swagger,26,253,191,118,174,132,152,Lonely,,,,Croagunk: 26
454,Toxicroak,Dry Skin,Fake Out,Sludge Bomb,Wake-Up Slap,Flatter,8,305,246,164,206,147,224,Naive,,,,Toxicroak: 8
455,Carnivine,Levitate,Power Whip,Feint Attack,Gastro Acid,Stun Spore,11,290,237,181,217,181,129,Docile,,,,Carnivine: 11
456,Finneon,Swift Swim,Waterfall,Ice Beam,Sweet Kiss,Rain Dance,23,252,161,161,147,153,181,Naughty,,,,Finneon: 23
457,Lumineon,Swift Swim,Surf,Silver Wind,Charm,Rain Dance,11,280,175,189,175,209,219,Hardy,,,,Lumineon: 11
458,Mantyke,Water Absorb,Surf,Ice Beam,Confuse Ray,Toxic,22,243,79,148,184,288,148,Modest,,,,Mantyke: 22
459,Snover,Snow Warning,Blizzard,Giga Drain,Grass Whistle,Sheer Cold,23,274,155,163,173,169,129,Bold,,,,Snover: 23
460,Abomasnow,Snow Warning,Seed Bomb,Icy Wind,Earthquake,Ingrain,8,319,218,184,218,204,154,Serious,,,,Abomasnow: 8
461,Weavile,Pressure,Night Slash,Ice Punch,Focus Blast,Leer,6,277,244,162,134,202,282,Modest,,,,Weavile: 6
462,Magnezone,Sturdy,Shock Wave,Mirror Shot,Tri Attack,Magnet Rise,4,275,170,260,261,210,165,Jolly,,,,Magnezone: 4
463,Lickilicky,Own Tempo,Stomp,Ice Beam,Rollout,Disable,6,357,202,222,192,222,132,Docile,,,,Lickilicky: 6
464,Rhyperior,Solid Rock,Rock Blast,Magnitude,Horn Drill,Stealth Rock,4,365,279,290,140,140,121,Timid,,,,Rhyperior: 4
,Shiny Rhyperior,Lightning Rod,Rock Blast,Megahorn,Lock-On,Horn Drill,,392,370,317,150,167,137,Adamant,,,,
465,Tangrowth,Leaf Guard,Giga Drain,Ancient Power,Bind,Stun Spore,4,335,230,280,225,130,143,Jolly,,,,Tangrowth: 4
466,Electivire,Motor Drive,Thunder Punch,Rolling Kick,Quick Attack,Leer,3,284,247,163,219,218,219,Calm,,,,Electivire: 3
,Shiny Electivire,No Guard,Zap Cannon,DynamicPunch,Blizzard,Nasty Plot,,312,272,191,271,227,247,Modest,,,,
467,Magmortar,Flame Body,Fire Punch,Psychic,Rock Slide,Smog,3,284,197,163,279,219,214,Timid,,,,Magmortar: 3
468,Togekiss,Hustle,Aerial Ace,Extreme Speed,Aura Sphere,Metronome,3,304,141,219,242,259,189,Adamant,,,,Togekiss: 3
469,Yanmega,Tinted Lens,Silver Wind,Air Slash,Quick Attack,Whirlwind,6,309,202,183,264,144,222,Lonely,,,,Yanmega: 6
470,Leafeon,Leaf Guard,Leaf Blade,Shadow Ball,Quick Attack,Captivate,5,266,225,291,166,161,221,Modest,,,,Leafeon: 5
471,Glaceon,Snow Cloak,Blizzard,Swift,Bite,Mirror Coat,5,266,166,251,261,221,161,Adamant,,,,Glaceon: 5
472,Gliscor,Hyper Cutter,Dig,Aerial Ace,Guillotine,Power Trick,6,287,199,310,122,182,222,Bold,,,,Gliscor: 6
473,Mamoswine,Snow Cloak,Earth Power,Ice Fang,Ice Shard,Hail,4,355,261,190,187,150,190,Modest,,,,Mamoswine: 4
474,Porygon-Z,Adaptability,Swift,Shadow Ball,Thief,Conversion,4,305,209,170,270,180,210,Adamant,,,,Porygon-Z: 4
475,Gallade,Steadfast,Psycho Cut,Drain Punch,Shadow Sneak,Memento,5,272,252,177,161,261,191,Bold,,,,Gallade: 5
476,Probopass,Sturdy,Power Gem,Magnet Bomb,Zap Cannon,Gravity,5,256,141,321,181,331,111,Bashful,,,,Probopass: 5
477,Dusknoir,Pressure,Shadow Punch,Earthquake,Fire Punch,Trick Room,5,226,231,301,161,301,121,Quirky,,,,Dusknoir: 5
478,Froslass,Snow Cloak,Ice Punch,Ominous Wind,Disable,Destiny Bond,9,280,195,175,195,175,255,Bashful,,,,Froslass: 9
479,Rotom,Levitate,Shadow Ball,Charge Beam,Confuse Ray,Pain Split,13,244,139,173,229,212,221,Gentle,,,,
480,Uxie,Levitate,Zen Headbutt,Ice Punch,Swagger,Psych Up,0,281,158,314,176,286,216,Bold,,,,Uxie: 0
481,Mesprit,Levitate,Extrasensory,Thunder Punch,Reflect,Role Play,0,291,236,236,236,236,186,Bashful,,,,Mesprit: 0
482,Azelf,Levitate,Extrasensory,Fire Punch,Light Screen,Skill Swap,0,281,303,149,276,166,256,Careful,,,,Azelf: 0
483,Dialga,Pressure,Iron Tail,Dragon Breath,Rock Tomb,Roar,-9,322,231,257,317,238,197,Calm,,,,Dialga: -9
,Shiny Dialga,Levitate,Roar of Time,Flash Cannon,Aura Sphere,Thunderbolt,,362,267,297,392,257,237,Modest,,,,
484,Palkia,Pressure,Water Pulse,Dragon Claw,Scary Face,Safeguard,-9,302,231,238,317,257,217,Bold,,,,Palkia: -9
,Shiny Palkia,Insomnia,Spacial Rend,Hydro Pump,Aura Sphere,Flamethrower,,342,267,257,392,297,257,Modest,,,,
485,Heatran,Flash Fire,Fire Fang,Iron Head,Toxic,Leer,-1,312,225,237,256,237,179,Adamant,,,,Heatran: -1
,Shiny Heatran,Trace,Magma Storm,Flash Cannon,Magnet Rise,Metal Sound,,344,213,269,348,269,211,Modest,,,,
486,Regigigas,Slow Start,Giga Impact,Zen Headbutt,Revenge,Crush Grip,-8,343,338,238,195,238,196,Quiet,,,,Regigigas: -8
,Shiny Regigigas,Iron Fist,Meteor Mash,Ice Punch,Fire Punch,Last Resort,,382,414,277,195,277,257,Adamant,,,,
487,Giratina,Pressure,Shadow Claw,Dragon Breath,Slash,Heal Block,-9,422,195,257,238,257,197,Modest,,,,Giratina: -9
,Shiny Giratina,Thick Fat,Shadow Force,Dragon Claw,Aura Sphere,Pain Split,,462,282,297,231,297,237,Adamant,,,,
488,Cresselia,Levitate,Psychic,Aurora Beam,Psycho Shift,Lunar Dance,-1,370,165,265,175,285,195,Bashful,,,,Cresselia: -1
489,Phione,Hydration,Surf,Signal Beam,Grass Knot,Rain Dance,9,300,175,195,195,195,214,Timid,,,,Phione: 9
490,Manaphy,Hydration,Dive,Energy Ball,Facade,Heart Swap,-1,330,225,225,225,225,225,Bashful,,,,Manaphy: -1
,Shiny Manaphy,Hydration,Surf,Rain Dance,Rest,Tail Glow,,362,231,257,282,257,257,Modest,,,,
491,Darkrai,Bad Dreams,Dark Void,Taunt,Nightmare,Haze,-1,271,206,206,235,206,248,Quiet,,,,Darkrai: -1
492,Shaymin,Natural Cure,Energy Ball,Air Slash,Sweet Kiss,Worry Seed,-1,330,225,225,202,247,225,Careful,,,,Shaymin: -1
,Shiny Shaymin,Serene Grace,Seed Flare,Air Slash,Leech Seed,Sweet Scent,,362,257,257,257,257,257,Docile,,,,
493,Arceus (Normal),Multitype,Judgment,Future Sight,Punishment,Safeguard,-13,358,253,253,227,253,278,Jolly,,,,Arceus (Normal): -13
493,Arceus (Grass),Multitype,Judgment,Future Sight,Icy Wind,Swagger,-13,358,253,253,227,253,278,Jolly,Meadow Plate,,,Arceus (Grass): -13
493,Arceus (Fire),Multitype,Judgment,Future Sight,Ominous Wind,Seismic Toss,-13,358,253,253,227,253,278,Jolly,Flame Plate,,,Arceus (Fire): -13
493,Arceus (Water),Multitype,Judgment,Future Sight,Icy Wind,Refresh,-13,358,253,253,227,253,278,Jolly,Splash Plate,,,Arceus (Water): -13
493,Arceus (Electric),Multitype,Judgment,Future Sight,Bullet Seed,Thunder Wave,-13,358,253,253,227,253,278,Jolly,Zap Plate,,,Arceus (Electric): -13
493,Arceus (Bug),Multitype,Judgement,Future Sight,Rock Tomb,Endure,-13,358,253,253,227,253,278,Jolly,Insect Plate,,,Arceus (Bug): -13
493,Arceus (Poison),Multitype,Judgment,Future Sight,Rock Smash,Toxic,-13,358,253,253,227,253,278,Jolly,Toxic Plate,,,Arceus (Poison): -13
493,Arceus (Flying),Multitype,Judgment,Future Sight,Shockwave,Defog,-13,358,253,253,227,253,278,Jolly,Sky Plate,,,Arceus (Flying): -13
493,Arceus (Fighting),Multitype,Judgment,Future Sight,Whirlpool,Will-O-Wisp,-13,358,253,253,227,253,278,Jolly,Fist Plate,,,Arceus (Fighting): -13
493,Arceus (Rock),Multitype,Judgment,Future Sight,Aerial Ace,Stealth Rock,-13,358,253,253,227,253,278,Jolly,Stone Plate,,,Arceus (Rock): -13
493,Arceus (Ground),Multitype,Judgment,Future Sight,Silver Wind,Sandstorm,-13,358,253,253,227,253,278,Jolly,Earth Plate,,,Arceus (Ground): -13
493,Arceus (Ice),Multitype,Judgment,Future Sight,Water Pulse,Hail,-13,358,253,253,227,253,278,Jolly,Icicle Plate,,,Arceus (Ice): -13
493,Arceus (Psychic),Multitype,Judgment,Future Sight,Ancient Power,Magic Coat,-13,358,253,253,227,253,278,Jolly,Mind Plate,,,
493,Arceus (Ghost),Multitype,Judgment,Future Sight,Swift,Perish Song,-13,358,253,253,227,253,278,Jolly,Spooky Plate,,,Arceus (Ghost): -13
493,Arceus (Dragon),Multitype,Judgment,Future Sight,Rock Smash,Roar,-13,358,253,253,227,253,278,Jolly,Draco Plate,,,Arceus (Dragon): -13
493,Arceus (Steel),Multitype,Judgment,Future Sight,Mud-Slap,Protect,-13,358,253,253,227,253,278,Jolly,Iron Plate,,,Arceus (Steel): -13
493,Arceus (Dark),Multitype,Judgment,Future Sight,Aerial Ace,Punishment,-13,358,253,253,227,253,278,Jolly,Dread Plate,,,Arceus (Dark): -13
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,5,,,,,,,,,,,: 5
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
,,,,,,,,,,,,,,,,,,: 
